name,day,years,prevalence,cases
Withdraw,4094,2.2164383561643834,0.52313703,2.5382915
Withdraw,4108,2.254794520547945,0.5245812,2.48171
Withdraw,4122,2.293150684931507,0.52518666,2.4378085
Withdraw,4136,2.3315068493150686,0.5255508,2.4102068
Withdraw,4150,2.3698630136986303,0.5261523,2.4016376
Withdraw,4164,2.408219178082192,0.52729857,2.4187725
Withdraw,4178,2.4465753424657533,0.52921945,2.4717
Withdraw,4192,2.484931506849315,0.53214943,2.5792847
Withdraw,4206,2.5232876712328767,0.5362595,2.7272933
Withdraw,4220,2.5616438356164384,0.5414298,2.886809
Withdraw,4234,2.6,0.5470126,3.0179172
Withdraw,4248,2.638356164383562,0.55182534,3.0474215
Withdraw,4262,2.6767123287671235,0.5544575,2.9418898
Withdraw,4276,2.7150684931506848,0.5537519,2.6944065
Withdraw,4290,2.7534246575342465,0.5491862,2.3400433
Withdraw,4304,2.791780821917808,0.5409905,1.9973476
Withdraw,4318,2.83013698630137,0.5301183,1.7477021
Withdraw,4332,2.8684931506849316,0.51826996,1.6635232
Withdraw,4346,2.9068493150684933,0.5077186,1.7479265
Withdraw,4360,2.9452054794520546,0.50059867,1.9138811
Withdraw,4374,2.9835616438356163,0.49814853,2.127164
Pyrethroid-only,2190,-3.0,0.44937128,2.0863774
Pyrethroid-only,2204,-2.9616438356164383,0.45082673,1.1856627
Pyrethroid-only,2218,-2.9232876712328766,0.43830267,0.65803707
Pyrethroid-only,2232,-2.884931506849315,0.41571212,0.6134801
Pyrethroid-only,2246,-2.8465753424657536,0.39317778,0.5646448
Pyrethroid-only,2260,-2.808219178082192,0.37651777,0.5685766
Pyrethroid-only,2274,-2.76986301369863,0.3615201,0.57431114
Pyrethroid-only,2288,-2.7315068493150685,0.3467532,0.58274305
Pyrethroid-only,2302,-2.6931506849315068,0.3335613,0.5939746
Pyrethroid-only,2316,-2.654794520547945,0.3221221,0.6144109
Pyrethroid-only,2330,-2.6164383561643834,0.31250608,0.6439107
Pyrethroid-only,2344,-2.578082191780822,0.3047194,0.680228
Pyrethroid-only,2358,-2.5397260273972604,0.29886246,0.73396826
Pyrethroid-only,2372,-2.5013698630136987,0.29523996,0.8082434
Pyrethroid-only,2386,-2.463013698630137,0.29415944,0.8928524
Pyrethroid-only,2400,-2.4246575342465753,0.29551238,0.98597145
Pyrethroid-only,2414,-2.3863013698630136,0.29862297,1.0684111
Pyrethroid-only,2428,-2.347945205479452,0.30240077,1.0988216
Pyrethroid-only,2442,-2.3095890410958906,0.30560833,1.0723295
Pyrethroid-only,2456,-2.271232876712329,0.3072347,1.0019195
Pyrethroid-only,2470,-2.232876712328767,0.30672553,0.89121556
Pyrethroid-only,2484,-2.1945205479452055,0.30385357,0.79271936
Pyrethroid-only,2498,-2.1561643835616437,0.29869822,0.7338698
Pyrethroid-only,2512,-2.117808219178082,0.29255807,0.75172734
Pyrethroid-only,2526,-2.0794520547945203,0.2883684,0.8423251
Pyrethroid-only,2540,-2.041095890410959,0.28896707,0.9928405
Pyrethroid-only,2554,-2.0027397260273974,0.2939223,1.1477959
Pyrethroid-only,2568,-1.9643835616438357,0.29886463,1.2840033
Pyrethroid-only,2582,-1.926027397260274,0.30501983,1.3920925
Pyrethroid-only,2596,-1.8876712328767122,0.31464583,1.4715824
Pyrethroid-only,2610,-1.8493150684931507,0.32452592,1.4987202
Pyrethroid-only,2624,-1.810958904109589,0.33205622,1.4984171
